"Watchlist D watch, as of 05/31/26 at 11:51 AM EST"
"undefined","Symbol","Mark","Mark Chg","Mark Chg %","52 Wk High","52 Wk Low","IV Rank","Short Interest %","Delta From 52 Wk High","Delta From 52 Wk Low","Pct. Chg. From 52 Wk High","Pct. Chg. From 52 Wk Low","Ext Hrs Chg %"
"--","APLX","35.3","-3.62","-9.30%","59.999940000","7.81","0.19369998729836163","--","-24.699940000000005","27.49","-41.17%","--","--"
"--","CEG","287.75","1.44","0.50%","412.7","243.3","0.3908132530120483","2.92%","-124.94999999999999","44.44999999999999","-30.28%","18.27%","--"
"--","MSTR","159.09","7.45","4.91%","457.22","104.165","0.28059032318326155","11.29%","-298.13","54.925","-65.20%","52.73%","--"
"--","AEP","126.67","-1.09","-0.85%","139.44","100.72","0.3521320495185696","5.04%","-12.769999999999996","25.950000000000003","-9.16%","25.76%","--"
"--","ABBV","217.72","-0.91","-0.42%","244.81","181.73","0.26198630136986295","1.28%","-27.090000000000003","35.99000000000001","-11.07%","19.80%","--"
"--","TT","451.3","-0.96","-0.21%","503.47","348.06","0.640734265734266","1.95%","-52.170000000000016","103.24000000000001","-10.36%","29.66%","--"
"--","ANET","159.47","4.2","2.71%","179.8","83.858","0.6832298136645961","1.66%","-20.330000000000013","75.612","-11.31%","--","--"
"--","AMD","516.1","-1.99","-0.38%","527.1999","108.6154","0.8105164903546981","2.74%","-11.099899999999934","407.4846","-2.11%","375.16%","--"
"--","RCL","284.63","3.34","1.19%","366.5","232.1","0.3830345430695234","4.62%","-81.87","52.53","-22.34%","22.63%","--"
"--","VST","160.23","-0.05","-0.03%","219.82","132.66","0.2983050847457628","3.99%","-59.59","27.569999999999993","-27.11%","20.78%","--"
"--","VIX","15.32","-0.42","-2.67%","--","--","0.1607452666515803","--","--","--","--","--","--"
"--","OKLO","66.88","-1.21","-1.78%","193.84","44.88","0.2623976889744824","20.16%","-126.96000000000001","21.999999999999993","--","49.02%","--"
"--","BA","231.15","2.37","1.04%","254.3499","176.77","0.3333333333333332","2.06%","-23.199899999999985","54.379999999999995","-9.12%","30.76%","--"
"--","EME","826.82","-21.63","-2.55%","951.96","455.1401","0.407766990291262","2.33%","-125.13999999999999","371.67990000000003","-13.15%","81.66%","--"
"--","JCI","134.06","-2.09","-1.54%","147.32","99.105","1.135901162790698","1.48%","-13.259999999999991","34.955","-9.00%","--","--"
"--","COST","956.32","-38.88","-3.91%","1096.5","844.06","0.08655332302936623","1.66%","-140.17999999999995","112.2600000000001","--","13.30%","--"
"--","CAT","875.87","-11.8","-1.33%","931.35","339.5","0.6419110690633867","1.81%","-55.48000000000002","536.37","-5.96%","157.99%","--"
"--","VRTX","447.54","-0.43","-0.10%","507.92","362.5","-0.10398050365556441","1.76%","-60.379999999999995","85.04000000000002","-11.89%","23.46%","--"
"--","HROW","35.21","-0.18","-0.51%","54.85","26.87","0.40079123554473534","17.42%","-19.64","8.34","-35.81%","31.04%","--"
"--","COIN","189.03","6.78","3.72%","444.645","139.36","0.416082626337145","9.72%","-255.61499999999998","49.66999999999999","-57.49%","35.64%","--"
"--","NET","241.82","13.71","6.01%","260","158.83","0.6735451919108546","2.54%","-18.180000000000007","82.98999999999998","-6.99%","52.25%","--"
"--","VRT","315.71","1.53","0.49%","379.935","104.71","0.724788872329856","3.53%","-64.22500000000002","211","-16.90%","201.51%","--"
"--","LITE","854.96","-5.66","-0.66%","1085.68","71.04","0.6341132587317736","11.77%","-230.72000000000003","783.9200000000001","--","1103.49%","--"
"--","GEV","968.32","-27.68","-2.78%","1181.95","458.646","0.42741935483870946","3.30%","-213.63","509.67400000000004","--","111.13%","--"
"--","ECL","256.0","-4.25","-1.63%","309.27","243.15","0.8918660287081341","1.25%","-53.26999999999998","12.849999999999994","-17.22%","5.28%","--"
"--","ZS","139.73","9.69","7.45%","336.99","114.625","0.702324352879028","6.89%","-197.26000000000002","25.10499999999999","-58.54%","21.90%","--"
"--","TSM","418.45","-6.41","-1.51%","430.55","190.56","0.8338826631509558","0.55%","-12.100000000000023","227.89","-2.81%","119.59%","--"
"--","GPOR","168.59","-2.6","-1.52%","225.78","160.95","0.6083976006855186","4.20%","-57.19","7.640000000000015","-25.33%","4.75%","--"
"--","SPXC","216.66","2.84","1.33%","246.68","150.495","0.6792265741199802","3.57%","-30.02000000000001","66.16499999999999","-12.17%","43.96%","--"
"--","NVO","45.58","0.07","0.15%","81.44","35.12","-0.24865591397849449","0.64%","-35.86","10.46","-44.03%","29.78%","--"
"--","HOOD","94.3","9.46","11.15%","153.8599","62.92","0.4856423173803525","4.19%","-59.55990000000001","31.379999999999995","--","49.87%","--"
"--","SNOW","255.55","16.35","6.84%","280.67","118.3","0.6474522292993631","5.62%","-25.120000000000005","137.25","-8.95%","116.02%","--"
"--","META","632.51","-2.78","-0.44%","796.25","520.26","0.11692969870875168","1.27%","-163.74","112.25","-20.56%","21.58%","--"
"--","AAPL","312.06","-0.45","-0.14%","315.0","195.07","-0.10994764397905775","0.94%","-2.9399999999999977","116.99000000000001","-0.93%","59.97%","--"
