Symbol,Beta,Last Trade,$ Chg. Close,% Chg. Close,% Chg. Open,% Chg. Over,After hours percent change
EME,2.02,717.52,-84.28,-10.51,-8.01,-2.72,n/a
FN,2.90,570.00,-45.99,-7.47,-7.30,-0.18,n/a
LITE,2.94,671.605,-51.785,-7.16,-6.37,-0.84,n/a
CRDO,3.28,114.595,-8.865,-7.18,-7.93,+0.81,n/a
VRT,2.86,243.945,-18.245,-6.96,-6.23,-0.78,n/a
AMAT,2.37,368.28,-26.67,-6.75,-6.00,-0.80,n/a
AVGO,2.30,310.18,-22.13,-6.66,-5.00,-1.75,n/a
CLS,3.05,274.51,-19.47,-6.62,-7.59,+1.04,n/a
LABU,2.50,165.20,-11.67,-6.60,-5.39,-1.28,n/a
WDC,2.74,271.952,-18.998,-6.53,-4.96,-1.65,n/a
COHR,3.02,250.42,-17.48,-6.52,-6.74,+0.23,n/a
BIDU,1.66,124.02,-8.63,-6.51,-4.01,-2.60,n/a
ASML,1.94,1430.93,-95.58,-6.26,-5.41,-0.90,n/a
AGQ,3.01,161.88,-10.75,-6.23,-2.68,-3.64,n/a
CIEN,2.81,331.65,-21.68,-6.14,-6.47,+0.36,n/a
MU,2.98,402.71,-26.29,-6.13,-5.21,-0.97,n/a
VST,1.94,165.2075,-10.1525,-5.79,-3.59,-2.28,n/a
TQQQ,3.88,49.14,-2.73,-5.26,-4.82,-0.46,n/a
GLW,1.92,152.39,-8.04,-5.01,-3.77,-1.29,n/a
NVDA,1.91,186.41,-9.15,-4.68,-4.05,-0.66,n/a
SANM,2.19,153.84,-7.48,-4.64,-4.77,+0.14,n/a
ALAB,3.23,122.32,-5.83,-4.55,-3.53,-1.05,n/a
CAT,1.53,732.01,-34.60,-4.51,-5.01,+0.52,n/a
CEG,2.05,311.26,-14.58,-4.47,-4.08,-0.41,n/a
TSM,1.93,371.49,-16.24,-4.19,-3.80,-0.40,n/a
BABA,1.14,145.96,-6.32,-4.15,-1.61,-2.58,n/a
GEV,2.14,840.51,-35.50,-4.05,-4.20,+0.16,n/a
NVT,1.80,116.975,-4.825,-3.96,-4.13,+0.17,n/a
AMD,2.86,202.575,-8.285,-3.93,-2.98,-0.98,n/a
SNDK,4.57,608.34,-24.04,-3.80,-5.79,+2.11,n/a
ANET,1.91,127.91,-4.98,-3.75,-3.10,-0.67,n/a
MRVL,2.48,78.07,-2.85,-3.52,-3.75,+0.23,n/a
JBL,1.82,268.00,-9.57,-3.45,-4.00,+0.58,n/a
APLX,6.76,53.88,-1.89,-3.39,-2.83,-0.57,n/a
GOOG,1.17,303.34,-9.69,-3.10,-3.03,-0.07,n/a
ARM,2.27,127.68,-4.06,-3.08,-3.23,+0.15,n/a
HROW,1.68,51.88,-1.56,-2.92,-2.99,+0.07,n/a
NUGT,2.44,280.22,-8.24,-2.86,-1.86,-1.02,n/a
MSTR,2.97,132.11,-3.54,-2.61,-1.19,-1.44,n/a
TT,0.86,448.41,-11.61,-2.52,-2.61,+0.08,n/a
TSLA,2.16,407.846,-9.554,-2.29,-1.59,-0.71,n/a
ADI,1.34,352.71,-8.09,-2.24,-2.24,-0.01,n/a
AXSM,0.21,160.615,-3.605,-2.20,-1.97,-0.23,n/a
NBIS,3.30,103.80,-2.32,-2.19,-2.08,-0.11,n/a
JCI,0.77,141.78,-2.71,-1.88,-2.07,+0.20,n/a
BA,0.73,226.1175,-4.2425,-1.84,-1.85,+0.01,n/a
QQQ,1.29,605.67,-11.01,-1.79,-1.61,-0.18,n/a
NVO,1.97,37.53,-0.63,-1.65,-0.78,-0.88,n/a
WPM,0.85,154.88,-2.55,-1.62,-0.85,-0.78,n/a
CRWV,3.45,96.4675,-1.5425,-1.57,-2.41,+0.86,n/a
CSCO,1.03,77.90,-1.22,-1.54,-1.32,-0.23,n/a
COIN,3.47,181.065,-2.875,-1.56,-0.21,-1.36,n/a
OKLO,4.04,65.325,-0.995,-1.50,-0.78,-0.72,n/a
AMZN,1.48,207.47,-3.17,-1.50,-1.55,+0.04,n/a
GDX,1.22,109.52,-1.64,-1.48,-0.80,-0.68,n/a
MELI,1.43,1743.54,-24.17,-1.37,-2.65,+1.32,n/a
ABBV,0.02,224.19,-2.73,-1.20,-1.49,+0.30,n/a
ARKK,2.38,72.67,-0.87,-1.18,-0.91,-0.27,n/a
SPXC,1.10,224.12,-2.54,-1.12,-1.90,+0.79,n/a
AYI,1.43,303.185,-3.355,-1.09,-1.73,+0.64,n/a
AEM,0.91,237.9483,-2.6017,-1.08,-0.48,-0.61,n/a
LMT,0.30,640.78,-6.72,-1.04,-0.88,-0.16,n/a
VRTX,0.56,478.14,-4.91,-1.02,-1.08,+0.06,n/a
RMBS,3.73,100.06,-1.03,-1.02,-1.42,+0.41,n/a
ECL,0.48,303.575,-2.945,-0.96,-1.44,+0.49,n/a
AAPL,0.89,271.905,-2.325,-0.85,-1.11,+0.26,n/a
ARKW,2.30,126.115,-0.985,-0.77,-0.41,-0.37,n/a
LEU,3.57,209.065,-1.565,-0.74,+0.29,-1.03,n/a
AEP,-0.06,131.635,-0.825,-0.62,-0.43,-0.19,n/a
HOOD,3.68,77.065,-0.465,-0.60,+0.18,-0.77,n/a
SLB,0.82,51.355,-0.305,-0.59,+0.09,-0.68,n/a
ORCL,1.87,147.045,-0.845,-0.57,-1.17,+0.61,n/a
META,1.25,650.825,-2.865,-0.44,+0.04,-0.48,n/a
SATS,1.44,106.55,-0.46,-0.43,-0.77,+0.35,n/a
PLTR,2.45,133.665,-0.525,-0.39,-0.13,-0.26,n/a
WAT,0.69,318.305,-1.135,-0.36,-0.88,+0.53,n/a
WMT,-0.07,125.30,-0.45,-0.36,-0.54,+0.18,n/a
COST,0.07,994.02,-0.74,-0.07,-0.29,+0.22,n/a
RSP,0.73,203.52,-0.06,-0.03,-0.29,+0.27,n/a
QCOM,1.89,145.85,+0.03,+0.02,-0.05,+0.07,n/a
CVX,0.15,184.26,+0.04,+0.02,+0.74,-0.72,n/a
XOM,0.09,149.24,+0.18,+0.12,+0.97,-0.84,n/a
MSFT,0.91,401.63,+1.03,+0.26,-0.76,+1.03,n/a
RKLB,3.20,70.39,+0.19,+0.27,+0.49,-0.22,n/a
GS,1.46,924.00,+2.62,+0.28,-0.41,+0.69,n/a
AVAV,2.42,256.29,+1.07,+0.42,-0.28,+0.70,n/a
JPM,1.06,305.65,+2.35,+0.77,+0.35,+0.42,n/a
CHRW,0.98,177.25,+1.34,+0.76,+0.61,+0.15,n/a
NFLX,0.54,83.377,+0.677,+0.82,+0.21,+0.60,n/a
ADBE,0.70,259.99,+2.18,+0.85,-0.61,+1.47,n/a
ASTS,3.74,83.075,+0.715,+0.87,+1.43,-0.56,n/a
GPOR,0.51,201.595,+1.925,+0.96,+1.71,-0.74,n/a
DIS,0.74,106.075,+1.025,+0.98,+0.57,+0.40,n/a
KTOS,2.15,89.26,+1.03,+1.17,+1.50,-0.33,n/a
VLO,0.57,202.12,+2.48,+1.24,+2.08,-0.82,n/a
MA,0.54,515.865,+6.475,+1.27,+0.96,+0.31,n/a
V,0.57,317.405,+4.415,+1.41,+0.93,+0.48,n/a
RCL,1.36,317.66,+4.66,+1.49,+1.16,+0.32,n/a
NET,2.10,174.48,+2.68,+1.56,+0.28,+1.27,n/a
LULU,1.58,186.07,+3.52,+1.93,+0.76,+1.16,n/a
XYL,0.93,130.81,+2.55,+1.99,+0.08,+1.90,n/a
CRM,1.05,195.60,+3.85,+2.01,-0.59,+2.61,n/a
AXP,1.11,334.3775,+7.2875,+2.23,+1.38,+0.84,n/a
APP,2.89,431.60,+9.97,+2.36,+2.59,-0.22,n/a
SAP,1.09,203.735,+5.485,+2.77,+0.68,+2.07,n/a
SHOP,2.76,123.88,+3.57,+2.97,+1.97,+0.98,n/a
RDDT,2.02,154.38,+4.71,+3.15,+4.04,-0.86,n/a
IBM,1.44,245.17,+7.63,+3.21,+2.28,+0.91,n/a
RBRK,1.99,53.94,+1.78,+3.41,+1.89,+1.50,n/a
SPOT,0.78,479.86,+16.58,+3.58,+2.32,+1.23,n/a
NOW,0.90,108.32,+4.09,+3.92,+0.81,+3.09,n/a
CRWD,1.97,378.3575,+15.0475,+4.14,+3.03,+1.08,n/a
ANF,1.18,100.00,+4.09,+4.26,+3.10,+1.13,n/a
DUOL,1.76,116.435,+4.785,+4.29,+3.46,+0.80,n/a
SNOW,2.03,176.91,+7.70,+4.55,-0.86,+5.45,n/a
DASH,1.66,181.10,+8.04,+4.65,+3.73,+0.89,n/a
INTU,1.04,400.555,+19.325,+5.07,+3.24,+1.78,n/a
MDB,2.12,331.20,+16.21,+5.15,+2.91,+2.18,n/a
WDAY,1.03,140.225,+7.075,+5.31,+2.35,+2.89,n/a
ZS,1.43,164.70,+9.00,+5.78,+3.25,+2.45,n/a
CRCL,3.71,87.99,+4.85,+5.83,+7.88,-1.89,n/a
TFX,1.12,120.74,+8.85,+7.91,+11.24,-2.99,n/a
VIX,0.00,20.20,+2.27,+12.66,+11.79,+0.78,n/a
,,,,,,,
