date,nav,cash,open_positions
2024-01-02,50006.25,50006.25,0
2024-01-03,50012.50078125,50012.50078125,0
2024-01-04,50018.75234384766,50018.75234384766,0
2024-01-05,50025.004687890636,50025.004687890636,0
2024-01-08,50031.25781347662,50031.25781347662,0
2024-01-09,50037.51172070331,50037.51172070331,0
2024-01-10,50043.7664096684,50043.7664096684,0
2024-01-11,50050.02188046961,50050.02188046961,0
2024-01-12,50056.27813320467,50056.27813320467,0
2024-01-16,50062.53516797132,50062.53516797132,0
2024-01-17,50068.792984867316,50068.792984867316,0
2024-01-18,50075.051583990426,50075.051583990426,0
2024-01-19,50081.310965438424,50081.310965438424,0
2024-01-22,50087.5711293091,50087.5711293091,0
2024-01-23,50093.832075700266,50093.832075700266,0
2024-01-24,50100.09380470973,50100.09380470973,0
2024-01-25,50106.35631643532,50106.35631643532,0
2024-01-26,50112.61961097487,50112.61961097487,0
2024-01-29,50118.88368842624,50118.88368842624,0
2024-01-30,50125.14854888729,50125.14854888729,0
2024-01-31,50131.4141924559,50131.4141924559,0
2024-02-01,50137.680619229955,50137.680619229955,0
2024-02-02,50143.94782930736,50143.94782930736,0
2024-02-05,50150.21582278603,50150.21582278603,0
2024-02-06,50156.48459976388,50156.48459976388,0
2024-02-07,50162.754160338845,50162.754160338845,0
2024-02-08,50169.02450460889,50169.02450460889,0
2024-02-09,50175.295632671965,50175.295632671965,0
2024-02-12,50181.56754462605,50181.56754462605,0
2024-02-13,50187.84024056913,50187.84024056913,0
2024-02-14,50194.1137205992,50194.1137205992,0
2024-02-15,50200.387984814275,50200.387984814275,0
2024-02-16,50206.663033312376,50206.663033312376,0
2024-02-20,50212.93886619154,50212.93886619154,0
2024-02-21,50219.21548354981,50219.21548354981,0
2024-02-22,50225.49288548525,50225.49288548525,0
2024-02-23,50231.77107209594,50231.77107209594,0
2024-02-26,50238.05004347995,50238.05004347995,0
2024-02-27,50244.32979973538,50244.32979973538,0
2024-02-28,50250.610340960346,50250.610340960346,0
2024-02-29,50256.89166725297,50256.89166725297,0
2024-03-01,50263.173778711374,50263.173778711374,0
2024-03-04,50269.456675433714,50269.456675433714,0
2024-03-05,50275.740357518145,50275.740357518145,0
2024-03-06,50282.024825062836,50282.024825062836,0
2024-03-07,50288.31007816597,50288.31007816597,0
2024-03-08,50294.596116925735,50294.596116925735,0
2024-03-11,50300.88294144035,50300.88294144035,0
2024-03-12,50307.170551808034,50307.170551808034,0
2024-03-13,50313.45894812701,50313.45894812701,0
2024-03-14,50319.74813049552,50319.74813049552,0
2024-03-15,50326.038099011836,50326.038099011836,0
2024-03-18,50332.32885377421,50332.32885377421,0
2024-03-19,50338.620394880934,50338.620394880934,0
2024-03-20,50344.912722430294,50344.912722430294,0
2024-03-21,50351.205836520596,50351.205836520596,0
2024-03-22,50357.49973725016,50357.49973725016,0
2024-03-25,50363.794424717315,50363.794424717315,0
2024-03-26,50370.08989902041,50370.08989902041,0
2024-03-27,50376.38616025778,50376.38616025778,0
2024-03-28,50382.683208527815,50382.683208527815,0
2024-04-01,50388.98104392888,50388.98104392888,0
2024-04-02,50395.27966655937,50395.27966655937,0
2024-04-03,50401.57907651769,50401.57907651769,0
2024-04-04,50406.57911140226,50725.0269650838,1
2024-04-05,50483.58469763334,50731.33662446358,1
2024-04-08,50566.82469410493,50737.65668754246,1
2024-04-09,50645.15281747656,50645.15281747656,0
2024-04-10,50651.48346157875,50651.48346157875,0
2024-04-11,50657.81489701144,50657.81489701144,0
2024-04-12,50662.846961373565,51075.6273181903,1
2024-04-15,50314.79480914972,51122.31501542633,2
2024-04-16,50358.607373306775,51128.60905459309,2
2024-04-17,50247.46808533617,51134.8892030852,2
2024-04-18,50136.92382908538,51156.789406473035,2
2024-04-19,49977.925537706345,51163.035866357764,2
2024-04-22,50344.82429564744,51169.328182855155,2
2024-04-23,50600.334175229465,51158.08651415285,1
2024-04-24,50475.65453171027,51164.395182385786,1
2024-04-25,50255.14433497752,51170.67629028917,1
