date,net_liq,cash,total_return_pct,regime,confidence,base_signal,qqq_drawdown,alloc_QQQ,alloc_QLD,alloc_LEAPS,alloc_SGOV,QQQ_shares,QLD_shares,SGOV_shares,LEAPS_contracts,leaps_price,orders_queued
2019-01-02,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.539,-1,-16.67,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,3857.16,0
2019-01-03,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.46,-1,-19.4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,3774.09,0
2019-01-04,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.517,-1,-15.95,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,3986.32,0
2019-01-07,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.517,-1,-14.95,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,4026.0,0
2019-01-08,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.517,-1,-14.18,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,4067.49,0
2019-01-09,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.517,-1,-13.48,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,4100.2,0
2019-01-10,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.484,-1,-13.23,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,4084.71,0
2019-01-11,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.462,-1,-13.55,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,4069.2,0
2019-01-14,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.502,-1,-14.31,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,3980.47,0
2019-01-15,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.555,-1,-12.64,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,4082.59,0
2019-01-16,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.502,-1,-12.66,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,4076.49,0
2019-01-17,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.557,-1,-11.97,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,4093.89,0
2019-01-18,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.557,-1,-11.1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,4060.65,0
2019-01-22,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.517,-1,-12.88,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,3996.99,0
2019-01-23,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.462,-1,-12.76,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,3943.37,0
2019-01-24,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.468,-1,-12.2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,3961.04,0
2019-01-25,25000.0,25000.0,0.0,BEAR_SMA_FORCED,0.468,-1,-11.15,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,4017.42,0
