date,net_liq,cash,total_return_pct,regime,confidence,base_signal,alloc_QQQ,alloc_QLD,alloc_TQQQ,alloc_SGOV,QQQ_shares,QLD_shares,TQQQ_shares,SGOV_shares,orders_queued
2019-01-02,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.677,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-03,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.677,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-04,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.678,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-07,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.682,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-08,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.67,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-09,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.672,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-10,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.665,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-11,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.674,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-14,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.668,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-15,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.671,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-16,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.667,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-17,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.693,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-18,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.693,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-22,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.685,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-23,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.666,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-24,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.662,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-25,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.682,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-28,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.662,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-29,5000.0,5000.0,0.0,BEAR_SMA_FORCED,0.662,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-30,5000.0,5000.0,0.0,BEAR,0.669,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-01-31,5000.0,5000.0,0.0,BEAR,0.674,-1,0.0,0.0,0.0,100.0,0,0,0,0,0
2019-02-01,5000.0,5000.0,0.0,BULL,0.697,-1,66.0,15.0,0.0,19.0,0,0,0,0,0
2019-02-04,5000.0,5000.0,0.0,SIDEWAYS,0.704,-1,66.0,15.0,0.0,19.0,0,0,0,0,0
2019-02-05,5000.0,5000.0,0.0,BULL,0.708,-1,66.0,15.0,0.0,19.0,0,0,0,0,0
2019-02-06,5000.0,5000.0,0.0,SIDEWAYS,0.709,-1,66.0,15.0,0.0,19.0,0,0,0,0,0
2019-02-07,5000.0,5000.0,0.0,BULL,0.664,-1,66.0,15.0,0.0,19.0,0,0,0,0,0
