date,orig_nav,pmcc_nav
2019-10-16,25000.0,25000.0
2019-10-17,25000.0,25000.0
2019-10-18,25000.0,25000.0
2019-10-21,25000.0,25000.0
2019-10-22,24947.583990948115,24947.583990948115
2019-10-23,24984.393294764963,24984.393294764963
2019-10-24,25026.823526791344,25026.823526791344
2019-10-25,24984.323526791344,24984.323526791344
2019-10-28,24984.323526791344,24984.323526791344
2019-10-29,24923.986159036573,24923.986159036573
2019-10-30,24991.03944826533,24991.03944826533
2019-10-31,24951.03944826533,24951.03944826533
2019-11-01,24951.03944826533,24951.03944826533
2019-11-04,24951.03944826533,24951.03944826533
2019-11-05,24951.715964858904,24951.715964858904
2019-11-06,24914.215964858904,24914.215964858904
2019-11-07,24914.215964858904,24914.215964858904
2019-11-08,24914.215964858904,24914.215964858904
2019-11-11,24914.215964858904,24914.215964858904
2019-11-12,24899.398274927982,24899.398274927982
2019-11-13,24905.61979385717,24905.61979385717
2019-11-14,24868.11979385717,24868.11979385717
2019-11-15,24868.11979385717,24868.11979385717
2019-11-18,24868.11979385717,24868.11979385717
2019-11-19,24845.817272910394,24845.817272910394
2019-11-20,24834.769068725233,24834.769068725233
2019-11-21,24834.23291441309,24834.23291441309
2019-11-22,24862.31998100464,24862.31998100464
2019-11-25,24827.31998100464,24827.31998100464
2019-11-26,24814.423652858168,24814.423652858168
2019-11-27,24833.841962872015,24833.841962872015
2019-11-29,24798.841962872015,24798.841962872015
2019-12-02,24798.841962872015,24798.841962872015
2019-12-03,24717.91235464445,24717.91235464445
2019-12-04,24782.32399819892,24782.32399819892
2019-12-05,24805.03969050331,24805.03969050331
2019-12-06,24767.53969050331,24767.53969050331
2019-12-09,24767.53969050331,24767.53969050331
2019-12-10,24747.048271654818,24747.048271654818
2019-12-11,24780.325553946972,24780.325553946972
2019-12-12,24745.325553946972,24745.325553946972
2019-12-13,24745.325553946972,24745.325553946972
2019-12-16,24745.325553946972,24745.325553946972
2019-12-17,24724.605534185954,24724.605534185954
2019-12-18,24735.748074003044,24735.748074003044
2019-12-19,24757.21206811286,24757.21206811286
2019-12-20,24724.71206811286,24724.71206811286
2019-12-23,24724.71206811286,24724.71206811286
2019-12-24,24706.002522150855,24706.002522150855
2019-12-26,24742.10194340741,24742.10194340741
2019-12-27,24709.60194340741,24709.60194340741
2019-12-30,24709.60194340741,24709.60194340741
2019-12-31,24710.223479891512,24710.223479891512
2020-01-02,24677.723479891512,24677.723479891512
