date,signal,price,stop_loss,cci,macd_hist,ema1,ema2,conditions_met,reason,exit_date,exit_price,exit_reason,pnl,pnl_pct
2024-10-15 14:30:00+00:00,SELL,492.18,477.8996,-67.09,-0.3998,492.368,486.4226,5,All 5 SELL conditions met,2024-10-15 15:30:00+00:00,477.8996,stop_loss,14.2804,2.9
2024-10-24 18:30:00+00:00,BUY,492.54,489.9314,6.7,0.2254,492.1459,489.9314,5,All 5 BUY conditions met,2024-10-29 17:30:00+00:00,500.16,max_hold,7.62,1.55
2025-01-07 17:30:00+00:00,SELL,518.8099,520.186,-30.26,-0.4583,519.3405,520.186,5,All 5 SELL conditions met,2025-01-13 16:30:00+00:00,503.17,max_hold,15.6399,3.01
2025-01-28 19:30:00+00:00,BUY,522.805,520.3078,10.73,0.5361,522.0759,520.3078,5,All 5 BUY conditions met,2025-01-29 14:30:00+00:00,520.3078,stop_loss,-2.4972,-0.48
2025-02-12 14:30:00+00:00,SELL,525.75,518.2517,-83.82,-0.3283,526.5951,523.8988,5,All 5 SELL conditions met,2025-02-12 15:30:00+00:00,518.2517,stop_loss,7.4983,1.43
2025-04-09 16:30:00+00:00,BUY,444.21,485.3406,177.24,2.4834,437.816,460.1855,5,All 5 BUY conditions met,2025-04-09 17:30:00+00:00,485.3406,stop_loss,41.1306,9.26
2025-04-16 13:30:00+00:00,SELL,449.8582,457.5728,-146.97,-1.1242,451.3032,457.5728,5,All 5 SELL conditions met,2025-04-21 19:30:00+00:00,433.27,max_hold,16.5882,3.69
2025-05-21 16:30:00+00:00,SELL,514.4499,486.9886,-150.16,-0.6271,516.5835,500.0196,5,All 5 SELL conditions met,2025-05-21 17:30:00+00:00,486.9886,stop_loss,27.4613,5.34
2025-06-23 17:30:00+00:00,BUY,530.95,526.4319,98.5,0.3814,529.7012,526.4319,5,All 5 BUY conditions met,2025-06-26 16:30:00+00:00,545.31,max_hold,14.36,2.7
2025-07-30 18:30:00+00:00,SELL,565.9892,540.9669,-114.72,-0.2267,566.4929,560.2434,5,All 5 SELL conditions met,2025-07-30 19:30:00+00:00,540.9669,stop_loss,25.0223,4.42
2025-08-22 13:30:00+00:00,BUY,571.68,569.292,103.92,0.7408,569.3056,569.292,5,All 5 BUY conditions met,2025-08-25 13:30:00+00:00,569.292,stop_loss,-2.388,-0.42
2025-10-15 13:30:00+00:00,BUY,606.39,600.056,137.26,0.6593,602.4905,600.056,5,All 5 BUY conditions met,2025-10-15 16:30:00+00:00,600.056,stop_loss,-6.334,-1.04
2025-11-24 14:30:00+00:00,BUY,600.52,603.57,51.62,0.9884,598.7729,607.7237,5,All 5 BUY conditions met,2025-11-24 15:30:00+00:00,603.57,stop_loss,3.05,0.51
2025-12-12 14:30:00+00:00,SELL,616.27,618.1457,-214.63,-0.5343,622.9214,618.1457,5,All 5 SELL conditions met,2025-12-12 15:30:00+00:00,618.1457,stop_loss,-1.8757,-0.3
2026-01-29 14:30:00+00:00,SELL,623.11,617.8525,-109.82,-0.8482,626.9518,623.0579,5,All 5 SELL conditions met,2026-01-29 15:30:00+00:00,617.8525,stop_loss,5.2575,0.84
2026-02-18 14:30:00+00:00,BUY,608.07,614.6869,142.98,0.692,605.8216,611.9705,5,All 5 BUY conditions met,2026-02-18 15:30:00+00:00,614.6869,stop_loss,6.6169,1.09
2026-03-06 14:30:00+00:00,SELL,603.63,607.9723,-80.56,-0.3169,606.6159,607.9723,5,All 5 SELL conditions met,2026-03-09 19:30:00+00:00,607.9723,stop_loss,-4.3423,-0.72
2026-03-12 13:30:00+00:00,SELL,598.9,606.9607,-134.83,-0.659,605.9398,606.9607,5,All 5 SELL conditions met,2026-03-16 19:30:00+00:00,600.31,max_hold,-1.41,-0.24
