date,type,reason,new_strike,new_dte,roll_pnl,cost,new_prem,open_date,close_date,contracts,entry_px,exit_px,pnl,pmcc_income,rolls,regime,ml_conf
2019-02-20,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.91),141.93,365.0,1084.73,,,,,,,,,,,,
2019-02-22,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.91),143.28,365.0,1106.69,,,,,,,,,,,,
2019-03-12,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.91),145.18,365.0,1173.83,,,,,,,,,,,,
2019-03-15,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.91),148.85,365.0,1072.83,,,,,,,,,,,,
2019-03-15,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),148.85,365.0,846.71,,,,,,,,,,,,
2019-03-21,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),151.4,365.0,985.48,,,,,,,,,,,,
2019-04-05,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),154.47,365.0,853.39,,,,,,,,,,,,
2019-04-05,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),154.47,365.0,853.39,,,,,,,,,,,,
2019-04-12,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),156.9,365.0,834.87,,,,,,,,,,,,
2019-04-23,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),160.21,365.0,882.79,,,,,,,,,,,,
2019-04-23,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),160.21,365.0,882.79,,,,,,,,,,,,
2019-05-31,PMCC_ROLL_DOWN,,,,,166.47,1143.89,,,,,,,,,,
2019-05-31,PMCC_ROLL_DOWN,,,,,166.47,1143.89,,,,,,,,,,
2019-06-03,PMCC_ROLL_DOWN,,,,,802.64,1104.03,,,,,,,,,,
2019-06-03,PMCC_ROLL_DOWN,,,,,802.64,1104.03,,,,,,,,,,
2019-06-03,PMCC_ROLL_DOWN,,,,,129.25,1104.03,,,,,,,,,,
2019-07-03,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),160.6,365.0,337.02,,,,,,,,,,,,
2019-07-24,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.91),164.47,365.0,410.59,,,,,,,,,,,,
2019-07-24,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.91),164.47,365.0,410.59,,,,,,,,,,,,
2019-10-25,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),163.45,365.0,122.8,,,,,,,,,,,,
2019-11-07,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),167.12,365.0,112.11,,,,,,,,,,,,
2019-11-07,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),167.12,365.0,112.11,,,,,,,,,,,,
2019-11-15,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.91),170.52,365.0,1120.55,,,,,,,,,,,,
2019-11-26,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),173.02,365.0,926.59,,,,,,,,,,,,
2019-11-26,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),173.02,365.0,926.59,,,,,,,,,,,,
2019-12-19,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),176.3,365.0,853.03,,,,,,,,,,,,
2020-01-02,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.92),181.12,365.0,1244.01,,,,,,,,,,,,
2020-01-02,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.92),181.12,365.0,1244.01,,,,,,,,,,,,
2020-01-09,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),183.35,365.0,1104.64,,,,,,,,,,,,
2020-01-17,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),188.01,365.0,1096.61,,,,,,,,,,,,
2020-01-17,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.90),188.01,365.0,1096.61,,,,,,,,,,,,
2020-02-12,LEAPS_ROLL_EVENT,DELTA_DRIFT(0.92),193.58,365.0,1591.22,,,,,,,,,,,,
2020-02-27,PMCC_ROLL_DOWN,,,,,744.52,2666.4,,,,,,,,,,
2020-02-28,PMCC_ROLL_DOWN,,,,,585.38,2708.78,,,,,,,,,,
2020-02-28,PMCC_ROLL_DOWN,,,,,585.38,2708.78,,,,,,,,,,
