date,nav,cash,leaps_value,open_positions,qqq_price,vix,regime,hmm_p_bull,total_return_pct
2019-01-02,25000.0,25000.0,0.0,0,148.23,23.2,BEAR,0.0,0.0
2019-01-03,25000.0,25000.0,0.0,0,143.38,25.5,BEAR,0.0,0.0
2019-01-04,25000.0,25000.0,0.0,0,149.52,21.4,BEAR,0.0,0.0
2019-01-07,25000.0,25000.0,0.0,0,151.3,21.4,BEAR,0.0,0.0
2019-01-08,25000.0,25000.0,0.0,0,152.67,20.5,BEAR,0.0,0.0
2019-01-09,25000.0,25000.0,0.0,0,153.91,20.0,BEAR,0.0,0.0
2019-01-10,25000.0,25000.0,0.0,0,154.35,19.5,BEAR,0.0,0.0
2019-01-11,25000.0,25000.0,0.0,0,153.79,18.2,BEAR,0.0,0.0
2019-01-14,25000.0,25000.0,0.0,0,152.43,19.1,BEAR,0.0,0.0
2019-01-15,25000.0,25000.0,0.0,0,155.41,18.6,BEAR,0.0,0.0
2019-01-16,25000.0,25000.0,0.0,0,155.38,19.0,BEAR,0.0,0.0
2019-01-17,25000.0,25000.0,0.0,0,156.6,18.1,BEAR,0.0,0.0
2019-01-18,25000.0,25000.0,0.0,0,158.15,17.8,BEAR,0.0,0.0
2019-01-22,25000.0,25000.0,0.0,0,154.98,20.8,BEAR,0.0,0.0
2019-01-23,25000.0,25000.0,0.0,0,155.19,19.5,BEAR,0.0,0.0
2019-01-24,25000.0,25000.0,0.0,0,156.19,18.9,BEAR,0.01,0.0
2019-01-25,25000.0,25000.0,0.0,0,158.06,17.4,BEAR,0.42,0.0
2019-01-28,25000.0,25000.0,0.0,0,156.1,18.9,BEAR,0.52,0.0
2019-01-29,25000.0,25000.0,0.0,0,154.63,19.1,BEAR,0.6,0.0
2019-01-30,25000.0,25000.0,0.0,0,158.56,17.7,BEAR,0.69,0.0
2019-01-31,25000.0,25000.0,0.0,0,160.94,16.6,BEAR,0.8,0.0
2019-02-01,25000.0,25000.0,0.0,0,160.26,16.1,BEAR,0.98,0.0
2019-02-04,25000.0,25000.0,0.0,0,162.25,15.7,BULL_MODERATE,1.0,0.0
2019-02-05,25000.0,25000.0,0.0,0,163.68,15.6,BULL_STRONG,1.0,0.0
2019-02-06,25000.0,25000.0,0.0,0,163.2,15.4,BULL_MODERATE,1.0,0.0
2019-02-07,25000.0,25000.0,0.0,0,161.0,16.4,BULL_MODERATE,1.0,0.0
2019-02-08,25000.0,25000.0,0.0,0,161.32,15.7,BULL_MODERATE,1.0,0.0
2019-02-11,25000.0,25000.0,0.0,0,161.17,16.0,BULL_MODERATE,1.0,0.0
2019-02-12,25000.0,25000.0,0.0,0,163.55,15.4,BULL_MODERATE,1.0,0.0
2019-02-13,25000.0,25000.0,0.0,0,163.66,15.6,BULL_MODERATE,1.0,0.0
2019-02-14,25000.0,25000.0,0.0,0,163.87,16.2,BULL_STRONG,1.0,0.0
2019-02-15,25000.0,25000.0,0.0,0,164.55,14.9,BULL_STRONG,1.0,0.0
2019-02-19,25000.0,25000.0,0.0,0,164.88,14.9,BULL_STRONG,1.0,0.0
2019-02-20,25000.0,25000.0,0.0,0,164.85,14.0,BULL_STRONG,1.0,0.0
2019-02-21,25000.0,25000.0,0.0,0,164.25,14.5,BULL_STRONG,1.0,0.0
