date,nav,cash,leaps_mark,short_mark,regime,leaps_status,pmcc_status,leaps_delta,short_delta,cost_basis,pmcc_credit_cum,pmcc_income_today
2019-10-08,25000.0,25000.0,0.0,0.0,BULL_STRONG,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-09,25000.0,25000.0,0.0,0.0,BULL_STRONG,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-10,25000.0,25000.0,0.0,0.0,BULL_STRONG,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-11,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-14,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-15,25000.0,25000.0,0.0,0.0,BULL_STRONG,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-16,25000.0,25000.0,0.0,0.0,BULL_STRONG,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-17,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-18,25000.0,25000.0,0.0,0.0,BULL_STRONG,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-21,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-22,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-23,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-24,25000.0,25000.0,0.0,0.0,BEAR,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-25,25000.0,25000.0,0.0,0.0,BEAR,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-28,25000.0,25000.0,0.0,0.0,BEAR,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-29,25000.0,25000.0,0.0,0.0,BEAR,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-30,25000.0,25000.0,0.0,0.0,BEAR,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-10-31,25000.0,25000.0,0.0,0.0,BEAR,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-01,25000.0,25000.0,0.0,0.0,BEAR,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-04,25000.0,25000.0,0.0,0.0,BULL_MODERATE,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-05,25000.0,25000.0,0.0,0.0,BULL_STRONG,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-06,25000.0,25000.0,0.0,0.0,BULL_MODERATE,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-07,25000.0,25000.0,0.0,0.0,BULL_MODERATE,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-08,25000.0,25000.0,0.0,0.0,BULL_MODERATE,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-11,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-12,25000.0,25000.0,0.0,0.0,BULL_MODERATE,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-13,25000.0,25000.0,0.0,0.0,BULL_STRONG,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-14,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-15,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-18,25000.0,25000.0,0.0,0.0,BULL_STRONG,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-19,25000.0,25000.0,0.0,0.0,BULL_MODERATE,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-20,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-21,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-22,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-25,25000.0,25000.0,0.0,0.0,BULL_MODERATE,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-26,25000.0,25000.0,0.0,0.0,CHOPPY,NONE,NONE,0.0,0.0,0.0,0.0,0.0
2019-11-27,25000.0,25000.0,0.0,0.0,BULL_MODERATE,NONE,NONE,0.0,0.0,0.0,0.0,0.0
