Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-05-23T15:46:16-0400,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.05,0,,--,0.00,,,,,,,,-0.05,USD
2026-05-20T15:03:47-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 3 SGOV @ 100.57,301.72,3,100.57,0.00,-0.01,,,,,,,469360463,301.71,USD
2026-05-20T15:03:47-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 7 QLD @ 91.50,640.50,7,91.50,0.00,-0.03,,,,,,,469360456,640.47,USD
2026-05-20T15:03:47-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 3 SGOV @ 100.57,301.71,3,100.57,0.00,-0.01,,,,,,,469360454,301.70,USD
2026-05-20T15:03:46-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 7 QLD @ 91.51,640.57,7,91.51,0.00,-0.03,,,,,,,469360450,640.54,USD
2026-05-20T15:03:46-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 6 QQQ @ 710.99,"4,265.97",6,710.99,0.00,-0.10,,,,,,,469360449,"4,265.87",USD
2026-05-20T15:03:46-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 6 QQQ @ 710.99,"4,265.94",6,710.99,0.00,-0.10,,,,,,,469360442,"4,265.85",USD
2026-05-20T12:11:52-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 3 SGOV @ 100.57,301.72,3,100.57,0.00,-0.01,,,,,,,469214181,301.71,USD
2026-05-20T12:11:51-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 1 SGOV @ 100.57,100.57,1,100.57,0.00,-0.01,,,,,,,469214179,100.56,USD
2026-05-20T12:11:51-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 7 QLD @ 91.46,640.23,7,91.46,0.00,-0.03,,,,,,,469214177,640.20,USD
2026-05-20T12:11:51-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 6 QQQ @ 710.86,"4,265.16",6,710.86,0.00,-0.10,,,,,,,469214172,"4,265.06",USD
2026-05-20T12:11:50-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 3 SGOV @ 100.58,301.72,3,100.57,0.00,-0.01,,,,,,,469214155,301.71,USD
2026-05-20T12:11:50-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 7 QLD @ 91.48,640.32,7,91.48,0.00,-0.03,,,,,,,469214152,640.30,USD
2026-05-20T12:11:49-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 6 QQQ @ 710.87,"4,265.23",6,710.87,0.00,-0.10,,,,,,,469214148,"4,265.14",USD
2026-05-20T12:11:49-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 1 SGOV @ 100.58,100.57,1,100.57,0.00,-0.01,,,,,,,469214146,100.56,USD
2026-05-16T13:53:26-0400,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,,,-0.02,USD
2026-05-15T17:00:00-0400,Receive Deliver,Assignment,,QQQ   260515C00618000,Equity Option,Removal of option due to assignment,0.00,4,0.00,--,0.00,100,QQQ,QQQ,5/15/26,618,CALL,,0.00,USD
2026-05-15T17:00:00-0400,Receive Deliver,Sell to Close,SELL_TO_CLOSE,QQQ,Equity,Sell to Close 400 QQQ @ 618.00,"247,200.00",400,618.00,--,-10.18,,,,,,,,"247,189.82",USD
2026-05-15T17:00:00-0400,Receive Deliver,Exercise,,QQQ   260515C00635000,Equity Option,Removal of option due to exercise,0.00,2,0.00,--,0.00,100,QQQ,QQQ,5/15/26,635,CALL,,0.00,USD
2026-05-15T17:00:00-0400,Receive Deliver,Buy to Open,BUY_TO_OPEN,QQQ,Equity,Buy to Open 200 QQQ @ 635.00,"-127,000.00",200,-635.00,--,-5.00,,,,,,,,"-127,005.00",USD
2026-05-15T17:00:00-0400,Receive Deliver,Exercise,,QQQ   260515C00636000,Equity Option,Removal of option due to exercise,0.00,2,0.00,--,0.00,100,QQQ,QQQ,5/15/26,636,CALL,,0.00,USD
2026-05-15T17:00:00-0400,Receive Deliver,Buy to Close,BUY_TO_CLOSE,QQQ,Equity,Buy to Close 200 QQQ @ 636.00,"-127,200.00",200,-636.00,--,-5.00,,,,,,,,"-127,205.00",USD
2026-05-15T17:00:00-0400,Receive Deliver,Exercise,,QQQ   260515C00637000,Equity Option,Removal of option due to exercise,0.00,2,0.00,--,0.00,100,QQQ,QQQ,5/15/26,637,CALL,,0.00,USD
2026-05-15T17:00:00-0400,Receive Deliver,Buy to Close,BUY_TO_CLOSE,QQQ,Equity,Buy to Close 200 QQQ @ 637.00,"-127,400.00",200,-637.00,--,-5.00,,,,,,,,"-127,405.00",USD
2026-05-14T15:03:29-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 3 SGOV @ 100.51,301.53,3,100.51,0.00,-0.01,,,,,,,467294341,301.52,USD
2026-05-14T15:03:29-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 7 QLD @ 94.09,658.63,7,94.09,0.00,-0.03,,,,,,,467294338,658.60,USD
2026-05-14T15:03:28-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 6 QQQ @ 720.46,"4,322.76",6,720.46,0.00,-0.10,,,,,,,467294331,"4,322.66",USD
2026-05-14T15:03:27-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 3 SGOV @ 100.51,301.54,3,100.51,0.00,-0.01,,,,,,,467294307,301.53,USD
2026-05-14T15:03:27-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 7 QLD @ 94.08,658.59,7,94.09,0.00,-0.03,,,,,,,467294298,658.57,USD
2026-05-14T15:03:26-0400,Trade,Sell to Open,SELL_TO_OPEN,QQQ,Equity,Sold 6 QQQ @ 720.46,"4,322.73",6,720.45,0.00,-0.10,,,,,,,467294292,"4,322.63",USD
2026-05-09T12:52:09-0400,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,,,-0.02,USD
2026-05-07T09:30:01-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 1 SGOV @ 100.44,100.44,1,100.44,0.00,-0.01,,,,,,,464188628,100.43,USD
2026-05-07T09:30:01-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 1 SGOV @ 100.44,100.44,1,100.44,0.00,-0.01,,,,,,,464188629,100.43,USD
2026-05-06T17:00:00-0400,Money Movement,Dividend,,SGOV,Equity,ISHARES TRUST,12.51,0,,--,0.00,,,,,,,,12.51,USD
2026-05-06T15:01:19-0400,Trade,Sell to Open,SELL_TO_OPEN,QLD,Equity,Sold 1 QLD @ 87.44,87.43,1,87.43,0.00,-0.01,,,,,,,464098082,87.42,USD
2026-04-25T15:27:32-0400,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.24,0,,--,0.00,,,,,,,,-0.24,USD
2026-04-24T16:00:00-0400,Receive Deliver,Expiration,BUY_TO_CLOSE,TQQQ  260424P00049500,Equity Option,Removal of 1.0 TQQQ 04/24/26 Put 49.50 due to expiration.,0.00,1,0.00,--,0.00,100,TQQQ,TQQQ,4/24/26,49.5,PUT,,0.00,USD
2026-04-23T15:01:19-0400,Trade,Sell to Close,SELL_TO_CLOSE,SGOV,Equity,Sold 2 SGOV @ 100.60,201.21,2,100.60,0.00,-0.01,,,,,,,458684142,201.20,USD
