date,net_liq,cash,tqqq_shares,open_puts,open_calls,tqqq_price,vix,above_sma200,total_return_pct
2019-01-02,25000.0,25000.0,0,0,0,4.49,23.2,0,0.0
2019-01-03,25000.0,25000.0,0,0,0,4.05,25.5,0,0.0
2019-01-04,25000.0,25000.0,0,0,0,4.57,21.4,0,0.0
2019-01-07,25000.0,25000.0,0,0,0,4.72,21.4,0,0.0
2019-01-08,25000.0,25000.0,0,0,0,4.86,20.5,0,0.0
2019-01-09,25000.0,25000.0,0,0,0,4.97,20.0,0,0.0
2019-01-10,25000.0,25000.0,0,0,0,5.02,19.5,0,0.0
2019-01-11,25000.0,25000.0,0,0,0,4.96,18.2,0,0.0
2019-01-14,25000.0,25000.0,0,0,0,4.83,19.1,0,0.0
2019-01-15,25000.0,25000.0,0,0,0,5.1,18.6,0,0.0
2019-01-16,25000.0,25000.0,0,0,0,5.1,19.0,0,0.0
2019-01-17,25000.0,25000.0,0,0,0,5.22,18.1,0,0.0
2019-01-18,25000.0,25000.0,0,0,0,5.37,17.8,0,0.0
2019-01-22,25000.0,25000.0,0,0,0,5.07,20.8,0,0.0
2019-01-23,25000.0,25000.0,0,0,0,5.08,19.5,0,0.0
2019-01-24,25000.0,25000.0,0,0,0,5.16,18.9,0,0.0
2019-01-25,25000.0,25000.0,0,0,0,5.35,17.4,0,0.0
2019-01-28,25000.0,25000.0,0,0,0,5.15,18.9,0,0.0
2019-01-29,25000.0,25000.0,0,0,0,5.01,19.1,0,0.0
2019-01-30,25000.0,25000.0,0,0,0,5.38,17.7,0,0.0
2019-01-31,25000.0,25000.0,0,0,0,5.62,16.6,0,0.0
2019-02-01,25000.0,25000.0,0,0,0,5.55,16.1,0,0.0
2019-02-04,25000.0,25000.0,0,0,0,5.75,15.7,0,0.0
2019-02-05,25000.0,25000.0,0,0,0,5.9,15.6,0,0.0
2019-02-06,25000.0,25000.0,0,0,0,5.85,15.4,0,0.0
2019-02-07,25000.0,25000.0,0,0,0,5.62,16.4,0,0.0
2019-02-08,25000.0,25000.0,0,0,0,5.64,15.7,0,0.0
2019-02-11,25000.0,25000.0,0,0,0,5.63,16.0,0,0.0
2019-02-12,25000.0,25000.0,0,0,0,5.87,15.4,0,0.0
2019-02-13,25000.0,25000.0,0,0,0,5.89,15.6,0,0.0
2019-02-14,25000.0,25000.0,0,0,0,5.91,16.2,0,0.0
2019-02-15,25000.0,25000.0,0,0,0,5.98,14.9,0,0.0
2019-02-19,25000.0,25000.0,0,0,0,6.01,14.9,0,0.0
