Strategy,Trailing Stop %,Annual Return %,Sharpe Ratio,Max DD 95%,Max DD 99%,Pct Stopped Early,Avg Recovery Days
theta,-20,353.65,9.58,-5.42,-7.05,100.0,39.0
theta,-25,309.34,8.29,-6.87,-8.74,100.0,38.0
theta,-30,272.18,7.2,-8.77,-10.8,100.0,37.0
theta,-35,236.26,6.21,-10.17,-13.57,100.0,35.0
theta,-40,203.83,5.35,-12.51,-14.87,100.0,35.0
theta,-45,179.53,4.64,-15.11,-18.35,100.0,35.0
theta,-50,149.3,3.92,-16.55,-21.96,100.0,35.0
theta,-55,130.05,3.38,-20.64,-25.57,100.0,34.0
theta,-60,105.92,2.78,-24.22,-31.72,100.0,31.0
theta,-65,87.59,2.31,-27.99,-34.96,100.0,28.0
theta,-70,72.33,1.91,-31.51,-37.31,100.0,27.0
calendar,-20,120.09,5.65,-7.6,-9.08,100.0,35.0
calendar,-25,94.35,4.34,-10.22,-12.47,100.0,35.0
calendar,-30,69.61,3.15,-14.33,-16.63,100.0,34.0
calendar,-35,50.41,2.25,-17.75,-23.04,100.0,28.0
calendar,-40,33.34,1.47,-23.46,-27.48,100.0,22.0
calendar,-45,15.51,0.68,-31.49,-39.43,100.0,18.0
calendar,-50,1.11,0.06,-38.7,-44.83,100.0,10.0
calendar,-55,-8.45,-0.38,-47.49,-52.96,100.0,7.0
calendar,-60,-20.69,-0.93,-53.43,-61.19,100.0,3.0
calendar,-65,-30.68,-1.37,-60.93,-67.0,100.0,2.0
calendar,-70,-39.2,-1.77,-65.33,-72.35,100.0,1.0
