Symbol,Strategy,Direction,Exit,Entry Date,Exit Date,Days Held,Entry $,Exit $,PnL $,PnL %
TSLA,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-01-02,2019-01-11,9,622.29,704.48,82.2,8.2
CIEN,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-01-03,2019-01-14,11,887.93,875.37,-12.56,-1.4
AVGO,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-01-03,2019-01-14,11,523.71,525.53,1.82,0.2
AVGO,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-01-04,2019-01-14,10,520.54,526.19,5.65,0.7
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-01-07,2019-01-16,9,463.87,432.47,-31.39,-4.0
GOOGL,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-01-11,2019-01-22,11,1258.47,1236.07,-22.39,-1.8
CIEN,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-01-14,2019-01-23,9,909.61,865.35,-44.26,-4.9
NOW,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-01-15,2019-01-24,9,1032.25,914.79,-117.46,-11.4
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-01-15,2019-01-24,9,450.99,395.37,-55.63,-7.0
GDX,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-01-16,2019-01-25,9,447.23,411.36,-35.86,-4.6
TSLA,CALL_BACKSPREAD,BULLISH,BP_STOP_LOSS: PnL -52.2% <= -50.0%,2019-01-22,2019-01-28,6,1174.74,796.68,-378.06,-52.2
AMD,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-01-23,2019-02-01,9,626.92,862.05,235.13,24.7
QCOM,DIAGONAL,BULLISH,HEDGE_EXPIRING: Cannot roll hedge safely,2019-01-24,2019-02-04,11,973.21,888.4,-84.81,-8.7
ANET,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-01-28,2019-02-06,9,674.72,667.59,-7.13,-1.1
AVGO,NAKED_LONG,BULLISH,TIME_STOP_STRATEGY: Held 5 days >= 5,2019-02-01,2019-02-06,5,470.93,487.76,16.83,1.8
SHOP,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-01-29,2019-02-07,9,782.86,741.8,-41.06,-5.0
CIEN,DIAGONAL,BULLISH,THETA_KICKER: Roll expiring hedge,2019-01-30,2019-02-08,9,886.74,816.46,-70.28,-7.9
